imagem,indice,rotulo_real,v_mediana,s_mediana,razao_branco,razao_glare,razao_colorida,maior_blob_razao
IMG_0640.JPG,0,lisa,246.0,154.0,0.0,0.0,0.9644,0.9644
IMG_0640.JPG,1,branca,230.0,65.0,0.2183,0.0,0.0457,0.0355
IMG_0640.JPG,2,listrada,179.0,86.0,0.1388,0.0095,0.4732,0.4353
IMG_0640.JPG,3,listrada,167.0,54.0,0.3439,0.0395,0.2332,0.1581
IMG_0640.JPG,4,lisa,243.0,165.0,0.0,0.0,0.9968,0.9968
IMG_0640.JPG,5,listrada,250.0,102.0,0.0316,0.0,0.6759,0.6601
IMG_0640.JPG,6,listrada,120.0,98.0,0.1168,0.0051,0.5584,0.4721
IMG_0640.JPG,7,lisa,80.0,133.0,0.0336,0.0134,0.8456,0.8456
IMG_0640.JPG,8,lisa,224.0,156.0,0.0,0.0,0.9799,0.9799
IMG_0640.JPG,9,listrada,153.0,78.0,0.3289,0.0,0.4832,0.4765
IMG_0640.JPG,10,listrada,240.0,107.0,0.0,0.0,0.5772,0.5772
IMG_0640.JPG,11,lisa,124.0,133.0,0.0203,0.0,0.9036,0.9036
IMG_0640.JPG,12,lisa,95.0,140.0,0.0102,0.0,0.9239,0.9239
IMG_0640.JPG,13,listrada,216.0,82.0,0.1574,0.0,0.4416,0.4315
IMG_0640.JPG,14,preta,59.0,88.0,0.0914,0.0,0.4619,0.3655
IMG_0640.JPG,15,lisa,126.0,175.0,0.0152,0.0152,0.9543,0.9543
IMG_0641.JPG,0,lisa,250.0,158.0,0.0,0.0,0.9526,0.9526
IMG_0641.JPG,1,branca,238.0,54.0,0.5025,0.0,0.066,0.0609
IMG_0641.JPG,2,listrada,250.0,73.0,0.3096,0.0,0.401,0.3959
IMG_0641.JPG,3,listrada,216.0,74.0,0.1265,0.0,0.3518,0.3518
IMG_0641.JPG,4,lisa,223.0,148.0,0.0,0.0,0.9866,0.9866
IMG_0641.JPG,5,lisa,108.0,144.0,0.0051,0.0,0.9442,0.9442
IMG_0641.JPG,6,lisa,246.0,152.0,0.0,0.0,0.9565,0.9565
IMG_0641.JPG,7,listrada,150.0,71.0,0.3096,0.0812,0.467,0.4416
IMG_0641.JPG,8,listrada,227.0,72.0,0.3186,0.0,0.4069,0.3659
IMG_0641.JPG,9,listrada,234.0,49.0,0.5736,0.0152,0.198,0.1371
IMG_0641.JPG,10,listrada,201.0,79.0,0.3628,0.0,0.4006,0.3975
IMG_0641.JPG,11,lisa,126.0,123.0,0.0395,0.0,0.7866,0.7589
IMG_0641.JPG,12,lisa,88.0,109.0,0.0711,0.0812,0.6294,0.6244
IMG_0641.JPG,13,preta,55.0,76.0,0.1066,0.0102,0.4162,0.4112
IMG_0641.JPG,14,lisa,97.0,181.0,0.0305,0.0305,0.8832,0.8832
IMG_0641.JPG,15,listrada,116.0,89.0,0.2284,0.0,0.4924,0.4873
IMG_0642.JPG,0,lisa,125.0,129.0,0.0457,0.0,0.8376,0.8376
IMG_0642.JPG,1,listrada,245.0,79.0,0.2386,0.0,0.4213,0.4162
